voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Doris Burke,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Bogut, Andrew -- GS","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Smith,The Toronto Star,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwain Price,Ft. Worth Star Telegam,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Westbrook, Russell -- OKC","Green, Draymond -- GS","Randolph, Zach -- MEM","Gasol, Marc -- MEM","Paul, Chris -- LAC","Teague, Jeff -- ATL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Johnson,Fox Sports Arizona,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Tucker, P.J. -- PHO","Duncan, Tim -- SA","Westbrook, Russell -- OKC","Thompson, Klay -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Hasseltine,92.9 FM ESPN/680 AM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Shumpert, Iman -- CLE",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Johnson,TNT,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Green, Draymond -- GS","James, LeBron -- CLE","Gasol, Marc -- MEM","Paul, Chris -- LAC","Thompson, Klay -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethan Skolnick,Bleacher Report,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Duncan, Tim -- SA","Davis, Anthony -- NO","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fran Blinebury,NBA.com,"Duncan, Tim -- SA","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Green, Draymond -- GS","Davis, Anthony -- NO","James, LeBron -- CLE","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Isola,Sirius Radio/New York Daily News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Beverley, Patrick -- HOU",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fred McLeod,Fox Sports Ohio,"Green, Draymond -- GS","Noel, Nerlens -- PHI","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","James, LeBron -- CLE","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Gerould,Comcast SportsNet-CA,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Davis, Anthony -- NO","James, LeBron -- CLE","Bogut, Andrew -- GS","Paul, Chris -- LAC","Tucker, P.J. -- PHO",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Washburn,Boston Globe,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Blaha,WMGC / Fox Sports Detroit,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","James, LeBron -- CLE","Noah, Joakim -- CHI","Davis, Anthony -- NO","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glenn Consor,106.7 The Fan,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Kidd-Gilchrist, Michael -- CHA","Leonard, Kawhi -- SA","Ariza, Trevor -- HOU","Gobert, Rudy -- UTA","James, LeBron -- CLE","Allen, Tony -- MEM",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grant Napear,Comcast SportsNet-CA,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI","James, LeBron -- CLE","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Green, Danny -- SA","Allen, Tony -- MEM",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Beck,Bleacher Report,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","Middleton, Khris -- MIL","Gobert, Rudy -- UTA","Wall, John -- WAS","Allen, Tony -- MEM",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hubie Brown,ESPN,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Green, Draymond -- GS","James, LeBron -- CLE","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Beverley, Patrick -- HOU",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ian Eagle,YES Network,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Carroll, DeMarre -- ATL","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Matthews, Wesley -- POR",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel Guttierez,ESPN.com,"Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Butler, Jimmy -- CHI","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA Adande,ESPN.com,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Duncan, Tim -- SA","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Westbrook, Russell -- OKC","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabari Young,Comcast SportsNet NW,"James, LeBron -- CLE","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Allen, Tony -- MEM","Duncan, Tim -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Matthews, Wesley -- POR",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Jackson,Sun Sports,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Allen, Tony -- MEM","Noel, Nerlens -- PHI","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Harden, James -- HOU",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Jones,Sacramento Bee,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Duncan, Tim -- SA","Bogut, Andrew -- GS","Thompson, Klay -- GS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Kosmicki,Altitude Radio Network,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","James, LeBron -- CLE","Green, Draymond -- GS","Noah, Joakim -- CHI","Bledsoe, Eric -- PHO","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Lloyd,Akron Beacon Journal,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Bradley, Avery -- BOS","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Green, Draymond -- GS","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Zillgitt,USA Today,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Zgoda,Minneapolis Star Tribune,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","James, LeBron -- CLE","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Barnett,Comcast SportsNet Bay Area,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Paschke,Fox Sports Wisconsin,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Ariza, Trevor -- HOU","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Petersen,Fox Sports North,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jody Genessy,Deseret News,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Freeman,The Oregonian,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Bradley, Avery -- BOS","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Bogut, Andrew -- GS","Conley, Mike -- MEM","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Goodman,Miami Herald,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Wall, John -- WAS","Leonard, Kawhi -- SA","Carroll, DeMarre -- ATL","Gasol, Marc -- MEM","Harden, James -- HOU","Green, Danny -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joel Meyers,Fox Sports New Orleans,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Duncan, Tim -- SA","Ariza, Trevor -- HOU","Bogut, Andrew -- GS","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Denton,OrlandoMagic.com,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Paul, Chris -- LAC","Green, Draymond -- GS","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Payton, Elfrid -- ORL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Reid,New Orleans Times Picayune,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jon Barry,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Davis, Anthony -- NO","Duncan, Tim -- SA","Bogut, Andrew -- GS","Thompson, Klay -- GS","Allen, Tony -- MEM",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Feigen,Houston Chronicle,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Tucker, P.J. -- PHO","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC Johnson,Chicago Tribune,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Green, Draymond -- GS","Allen, Tony -- MEM","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keith Pompey,Philadelphia Inquirer,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Noel, Nerlens -- PHI","Kidd-Gilchrist, Michael -- CHA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Allen, Tony -- MEM",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ken Berger,CBSSports.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Duncan, Tim -- SA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Davis, Anthony -- NO","Duncan, Tim -- SA","Gasol, Marc -- MEM","Carroll, DeMarre -- ATL","Green, Danny -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Calabro,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Wall, John -- WAS","Iguodala, Andre -- GS","Davis, Anthony -- NO","Bogut, Andrew -- GS","Curry, Stephen -- GS","Teague, Jeff -- ATL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Ding,Bleacher Report,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Allen, Tony -- MEM","Millsap, Paul -- ATL","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lang Whitaker,NBA.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Duncan, Tim -- SA","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leo Rautins,SportsNet/TSN,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Duncan, Tim -- SA","Ibaka, Serge -- OKC","Gobert, Rudy -- UTA","Beverley, Patrick -- HOU","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Berman,New York Post,"Leonard, Kawhi -- SA","Allen, Tony -- MEM","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","James, LeBron -- CLE","Green, Draymond -- GS","Davis, Anthony -- NO","Wall, John -- WAS","Green, Danny -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Spears,Yahoo! Sports,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","James, LeBron -- CLE","Bogut, Andrew -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Stein,ESPN.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Zumoff,Comcast SportsNet,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Horford, Al -- ATL","Gasol, Marc -- MEM","Bradley, Avery -- BOS","Iguodala, Andre -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Boyle,107.5/1070 The Fan,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Ibaka, Serge -- OKC","Davis, Anthony -- NO","Thompson, Klay -- GS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Followill,TXA-21/Fox Sports Net,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Wall, John -- WAS","Middleton, Khris -- MIL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Medina,LA Daily News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Butler, Jimmy -- CHI","Bogut, Andrew -- GS","Wall, John -- WAS","Teague, Jeff -- ATL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marv Albert,TNT,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","Ariza, Trevor -- HOU","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Winer,NBA TV,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Duncan, Tim -- SA","Davis, Anthony -- NO","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Smith,Prime Ticket,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Paul, Chris -- LAC","James, LeBron -- CLE","Allen, Tony -- MEM","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Bradley, Avery -- BOS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilbon,ESPN,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Pachulia, Zaza -- MIL","Millsap, Paul -- ATL","Bogut, Andrew -- GS","Westbrook, Russell -- OKC","Thompson, Klay -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Breen,ABC Sports,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Beverley, Patrick -- HOU",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Fratello,TNT,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Ariza, Trevor -- HOU","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Bradley, Avery -- BOS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Gorman,Comcast SportsNet,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Butler, Jimmy -- CHI","James, LeBron -- CLE","Bogut, Andrew -- GS","Iguodala, Andre -- GS","Smart, Marcus -- BOS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Monroe,San Antonio Express-News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","James, LeBron -- CLE","Davis, Anthony -- NO","Noah, Joakim -- CHI","Butler, Jimmy -- CHI","Teague, Jeff -- ATL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Tirico,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Wall, John -- WAS","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neil Funk,Comcast SportsNet Chicago,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Thompson, Klay -- GS","James, LeBron -- CLE","Ibaka, Serge -- OKC","Davis, Anthony -- NO","Allen, Tony -- MEM","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Coro,Arizona Republic,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Butler, Jimmy -- CHI","Davis, Anthony -- NO","Allen, Tony -- MEM","Bogut, Andrew -- GS","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Jones,TSN 1050/Sportsnet 590 The Fan,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Ibaka, Serge -- OKC","Duncan, Tim -- SA","Drummond, Andre -- DET","Wall, John -- WAS","Thompson, Klay -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pete Pranica,Fox Sports Tennessee,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Kidd-Gilchrist, Michael -- CHA","Iguodala, Andre -- GS","Gasol, Marc -- MEM","Curry, Stephen -- GS","Ginobili, Manu -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter Botte,New York Daily News,"Green, Draymond -- GS","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ralph Lawler,Prime Ticket,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Iguodala, Andre -- GS","Bogut, Andrew -- GS","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramona Shelburne,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Green, Danny -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
